ReaScript API function,reapy API function
AddMediaItemToTrack,Track.add_item
AddProjectMarker,Project.add_marker;Project.add_region
AddProjectMarker2,Project.add_marker;Project.add_region
AddRemoveReaScript,add_reascript;remove_reascript
AddTakeToMediaItem,add_take
AddTempoTimeSigMarker,DEPRECATED
adjustZoom,TODO
AnyTrackSolo,any_track_solo
APIExists,TODO
APITest,TODO
ApplyNudge,TODO
ArmCommand,arm_command;disarm_command
Audio_Init,audio.init
Audio_IsPreBuffer,audio.is_prebuffer
Audio_IsRunning,audio.is_running
Audio_Quit,audio.quit
AudioAccessorValidateState,TODO
BypassFxAllTracks,Project.bypass_fx_on_all_tracks
ClearAllRecArmed,Project.disarm_rec_on_all_tracks
ClearConsole,clear_console
ClearPeakCache,clear_peak_cache
ColorFromNative,rgb_from_native
ColorToNative,rgb_to_native
CountAutomationItems,Envelope.n_items
CountEnvelopePoints,Envelope.n_points
CountEnvelopePointsEx,AutomationItem.n_points
CountMediaItems,Project.n_items
CountProjectMarkers,Project.n_markers;.n_regions
CountSelectedMediaItems,Project.n_selected_items
CountSelectedTracks,Project.n_selected_tracks
CountSelectedTracks2,Project.n_selected_tracks
CountTakeEnvelopes,Take.n_envelopes
CountTakes,Item.n_takes
CountTCPFXParms,TODO
CountTempoTimeSigMarkers,Project.n_tempo_markers
CountTrackEnvelopes,Track.n_envelopes
CountTrackMediaItems,Track.n_items
CountTracks,Project.n_tracks
CreateNewMIDIItemInProj,Track.add_midi_item
CreateTakeAudioAccessor,TODO
CreateTrackAudioAccessor,TODO
CreateTrackSend,TODO
CSurf_FlushUndo,TODO
CSurf_GetTouchState,TODO
CSurf_GoEnd,TODO
CSurf_GoStart,TODO
CSurf_NumTracks,TODO
CSurf_OnArrow,TODO
CSurf_OnFwd,TODO
CSurf_OnFXChange,TODO
CSurf_OnInputMonitorChange,TODO
CSurf_OnInputMonitorChangeEx,TODO
CSurf_OnMuteChange,TODO
CSurf_OnMuteChangeEx,TODO
CSurf_OnPanChange,TODO
CSurf_OnPanChangeEx,TODO
CSurf_OnPause,TODO
CSurf_OnPlay,TODO
CSurf_OnPlayRateChange,TODO
CSurf_OnRecArmChange,TODO
CSurf_OnRecArmChangeEx,TODO
CSurf_OnRecord,TODO
CSurf_OnRecvPanChange,TODO
CSurf_OnRecvVolumeChange,TODO
CSurf_OnRew,TODO
CSurf_OnRewFwd,TODO
CSurf_OnScroll,TODO
CSurf_OnSelectedChange,TODO
CSurf_OnSendPanChange,TODO
CSurf_OnSendVolumeChange,TODO
CSurf_OnSoloChange,TODO
CSurf_OnSoloChangeEx,TODO
CSurf_OnStop,TODO
CSurf_OnTempoChange,TODO
CSurf_OnTrackSelection,TODO
CSurf_OnVolumeChange,TODO
CSurf_OnVolumeChangeEx,TODO
CSurf_OnWidthChange,TODO
CSurf_OnWidthChangeEx,TODO
CSurf_OnZoom,TODO
CSurf_ResetAllCachedVolPanStates,TODO
CSurf_ScrubAmt,TODO
CSurf_SetAutoMode,TODO
CSurf_SetPlayState,TODO
CSurf_SetRepeatState,TODO
CSurf_SetSurfaceMute,TODO
CSurf_SetSurfacePan,TODO
CSurf_SetSurfaceRecArm,TODO
CSurf_SetSurfaceSelected,TODO
CSurf_SetSurfaceSolo,TODO
CSurf_SetSurfaceVolume,TODO
CSurf_SetTrackListChange,TODO
CSurf_TrackFromID,TODO
CSurf_TrackToID,TODO
DB2SLIDER,TODO
